[05-Nov-2018 01:02:39 Asia/Kolkata] PHP Notice:  Trying to get property of non-object in F:\STUDIES\DBMS\Project\WebApp\admin_handle.php on line 352
[05-Nov-2018 01:09:46 Asia/Kolkata] PHP Fatal error:  Call to undefined method mysqli_stmt::fetch_assoc() in F:\STUDIES\DBMS\Project\WebApp\admin_handle.php on line 374
[05-Nov-2018 01:14:33 Asia/Kolkata] PHP Fatal error:  Call to undefined method mysqli_stmt::fetch_assoc() in F:\STUDIES\DBMS\Project\WebApp\admin_handle.php on line 376
[05-Nov-2018 03:01:37 Asia/Kolkata] PHP Parse error:  syntax error, unexpected '}', expecting ',' or ';' in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 42
[05-Nov-2018 03:01:52 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 37
[05-Nov-2018 03:01:52 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 38
[05-Nov-2018 03:01:53 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 39
[05-Nov-2018 03:01:53 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 40
[05-Nov-2018 03:01:53 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 37
[05-Nov-2018 03:01:53 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 38
[05-Nov-2018 03:01:53 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 39
[05-Nov-2018 03:01:53 Asia/Kolkata] PHP Notice:  Undefined variable: row in F:\STUDIES\DBMS\Project\WebApp\Includes\user.php on line 40
